"Group","Year","estimate","conf.low","conf.high","n_stocks","fraction","Abundance_Index","Upper_Bound","Lower_Bound"
"elasmobranch",1950,0.318872423399613,0.126073861402241,0.524653054113683,29,0.038107752956636,1.57744299259863,1.93786297702684,1.30083532390862
"elasmobranch",1951,0.31860999767881,0.140481175053492,0.502351995697115,30,0.0394218134034166,1.57702908529661,1.89512490494864,1.31971252477735
"elasmobranch",1952,0.312148279461299,0.144146476392537,0.495605641958868,30,0.0394218134034166,1.56687162040727,1.88238275182594,1.32455854449756
"elasmobranch",1953,0.302679901876643,0.139304401134047,0.476371677117326,30,0.0394218134034166,1.55210590228807,1.84652303592107,1.31816043490558
"elasmobranch",1954,0.283326735342668,0.1280904168004,0.443163587926541,30,0.0394218134034166,1.5223565390076,1.78621050864859,1.30346117710254
"elasmobranch",1955,0.26565063458473,0.109336924133097,0.420073108243543,30,0.0394218134034166,1.49568364231907,1.74543858434925,1.27924451074594
"elasmobranch",1956,0.257516543425588,0.111198816739921,0.398914746138443,30,0.0394218134034166,1.48356696112858,1.70889591750171,1.28162854536231
"elasmobranch",1957,0.249315609271233,0.0984534234929942,0.398559840977778,32,0.0420499342969777,1.47145007895355,1.7082895291331,1.26539734181386
"elasmobranch",1958,0.261948018659541,0.115660889825434,0.416709925967749,33,0.0433639947437582,1.49015594004032,1.73957821650539,1.28736004327193
"elasmobranch",1959,0.279964950169276,0.138769983332175,0.426648564384819,33,0.0433639947437582,1.51724729626627,1.75695345548434,1.3174561747048
"elasmobranch",1960,0.294300669381242,0.150154801862157,0.428114410020406,39,0.0512483574244415,1.5391547820754,1.75953076654759,1.3325408795565
"elasmobranch",1961,0.312154703613245,0.17140358643221,0.446129171055193,44,0.0578186596583443,1.56688168626097,1.79151552674535,1.36115872407938
"elasmobranch",1962,0.320722341410691,0.181455104078956,0.467120502378228,45,0.0591327201051248,1.58036383362733,1.8295193021828,1.3749094269581
"elasmobranch",1963,0.323753473079568,0.194883813168566,0.462024591245875,52,0.0683311432325887,1.58516139183386,1.82021994886703,1.39349721132428
"elasmobranch",1964,0.305351645726572,0.175349295070502,0.435442472793366,53,0.0696452036793692,1.55625827625671,1.77247207791397,1.36654006944384
"elasmobranch",1965,0.281302637393113,0.152968332583645,0.409079990492785,54,0.0709592641261498,1.51927825668194,1.72635585399214,1.33629530337549
"elasmobranch",1966,0.246539026128841,0.122038888759997,0.379134316419344,54,0.0709592641261498,1.46737014223238,1.6754253443839,1.29559706418892
"elasmobranch",1967,0.206023163447186,0.0709618015514838,0.341352321146575,58,0.076215505913272,1.40910664292879,1.61330533038973,1.23108335126626
"elasmobranch",1968,0.182576774177495,0.0444207964930494,0.316356502726117,59,0.0775295663600526,1.37645248699089,1.57347925947217,1.19883895395989
"elasmobranch",1969,0.152744516778258,0.0199492097721848,0.268277952982246,59,0.0775295663600526,1.3359962528333,1.49961844619728,1.16985751967546
"elasmobranch",1970,0.128357449856135,0.00224792976834345,0.244907086880374,67,0.088042049934297,1.30380929080056,1.4649774362117,1.149331746337
"elasmobranch",1971,0.105892240839405,-0.0116501158847778,0.217385692701757,71,0.0932982917214192,1.27484549950133,1.42520896670106,1.13346876878347
"elasmobranch",1972,0.0761352820917021,-0.0460112038408754,0.189761551684359,95,0.124835742444152,1.23746884038703,1.3863776040422,1.09518308447508
"elasmobranch",1973,0.0732300087142717,-0.0390384301071322,0.180989447241722,97,0.127463863337714,1.23387887255377,1.37426934002486,1.1028462339757
"elasmobranch",1974,0.0612685225902842,-0.0520602584138344,0.165281947796614,102,0.134034165571616,1.21920776658088,1.35285165462544,1.08857825884484
"elasmobranch",1975,0.0499055525143967,-0.0742361241126456,0.171383616097493,99,0.130091984231275,1.20543235820922,1.36113154155549,1.06470379046193
"elasmobranch",1976,0.0242610534220999,-0.0812048209824231,0.138357103067267,98,0.128777923784494,1.17491265303323,1.31691233532838,1.0573099850065
"elasmobranch",1977,-0.0102295307671553,-0.114362979317509,0.0993526061074252,106,0.139290407358738,1.13508010189463,1.26653567681279,1.0228263986188
"elasmobranch",1978,-0.0417276675785844,-0.153713304020417,0.065630015095111,120,0.157687253613666,1.09988440287662,1.22453694525516,0.983359458745402
"elasmobranch",1979,-0.0594613284687514,-0.171297585787598,0.0465729091672113,129,0.169513797634691,1.08055135536834,1.20142176872431,0.966218932527624
"elasmobranch",1980,-0.077134029876268,-0.182077042833061,0.0290873865086837,135,0.177398160315375,1.06162284551118,1.18059687879406,0.955859551609035
"elasmobranch",1981,-0.116211465005213,-0.212846150270882,-0.0141899659423285,153,0.201051248357424,1.02093746503116,1.13059358088453,0.926896475373275
"elasmobranch",1982,-0.166892554641484,-0.278225447461823,-0.0595248775909286,153,0.201051248357424,0.970484545200113,1.08048268946009,0.868235147376202
"elasmobranch",1983,-0.207167032849159,-0.313532607660012,-0.0995888678054592,163,0.21419185282523,0.932175404936967,1.03804993005712,0.83811508575477
"elasmobranch",1984,-0.23252833186649,-0.334989583624548,-0.127890303764678,158,0.207621550591327,0.908831492933529,1.00908345625772,0.820323232796409
"elasmobranch",1985,-0.234839426501377,-0.324023286092772,-0.139377233628538,174,0.228646517739816,0.906733522584002,0.997558505246614,0.829368648147788
"elasmobranch",1986,-0.285111785815208,-0.374942505446775,-0.193942374631864,186,0.244415243101183,0.862276725781147,0.944584981409212,0.788195004673186
"elasmobranch",1987,-0.365907082688337,-0.458576215995968,-0.273419445274545,219,0.287779237844941,0.795348950549253,0.872417930575128,0.724956618529191
"elasmobranch",1988,-0.379925752902827,-0.473608762492079,-0.283332312466622,227,0.298291721419185,0.784277004212083,0.863812490254502,0.714140177468621
"elasmobranch",1989,-0.39937261233415,-0.493535301207658,-0.302127036048211,218,0.28646517739816,0.769172621967145,0.847728989196215,0.700050679242964
"elasmobranch",1990,-0.429494742733296,-0.516999671393678,-0.336338562993557,253,0.33245729303548,0.746348978050784,0.819217379733629,0.683815648224075
"elasmobranch",1991,-0.411878306740975,-0.493969712018802,-0.324562958031812,282,0.370565045992116,0.75961348064192,0.828921181914608,0.699746635704234
"elasmobranch",1992,-0.408656238576488,-0.493117718605063,-0.322187753185916,324,0.425755584756899,0.762064954342018,0.830892379595173,0.700343069271796
"elasmobranch",1993,-0.45243081296165,-0.535753554060241,-0.372821773178553,351,0.461235216819974,0.72942548656579,0.789868328962507,0.67111095333024
"elasmobranch",1994,-0.506193099911794,-0.585676466173862,-0.427316260468085,399,0.52431011826544,0.691245423802291,0.747976658355746,0.638429699211664
"elasmobranch",1995,-0.512849397265472,-0.595172288036264,-0.435740365566075,449,0.590013140604468,0.686659568058663,0.741702090291791,0.632395977428534
"elasmobranch",1996,-0.508734678502599,-0.587984643368279,-0.430192915565224,469,0.616294349540079,0.68949079993391,0.745828079330998,0.636957789707169
"elasmobranch",1997,-0.474595663287584,-0.553917389206371,-0.401838505815225,480,0.630749014454665,0.713435739621687,0.767278260819127,0.659031045456831
"elasmobranch",1998,-0.450152910243245,-0.522561639768214,-0.377560730164379,484,0.636005256241787,0.73108894073862,0.786134032251474,0.680022844718895
"elasmobranch",1999,-0.397976951610531,-0.475530752243358,-0.320500543296504,480,0.630749014454665,0.770246875457634,0.832295452741667,0.712768925554735
"elasmobranch",2000,-0.421313323377884,-0.498278661246915,-0.34005445238048,559,0.734559789750329,0.752480218952362,0.816178907376512,0.696737949771104
"elasmobranch",2001,-0.456318474734032,-0.528496112443502,-0.381644808563483,578,0.759526938239159,0.726595232086624,0.782929946553746,0.675999218586662
"elasmobranch",2002,-0.449664735256218,-0.523922799595887,-0.3790306339241,607,0.797634691195795,0.731445927201622,0.784979339733165,0.679097854613266
"elasmobranch",2003,-0.429059572621182,-0.501608890135159,-0.357229551268376,596,0.783180026281209,0.746673837498673,0.80228064757074,0.694421512197759
"elasmobranch",2004,-0.453904352706016,-0.526888546701935,-0.383648038404414,575,0.755584756898817,0.728351440639803,0.781363127794459,0.677086805721479
"elasmobranch",2005,-0.430646001819169,-0.49967550807887,-0.35970924160216,550,0.722733245729304,0.745490231423348,0.800293704523831,0.695765392987831
"elasmobranch",2006,-0.380136021053053,-0.44931123676824,-0.304102522679649,536,0.704336399474376,0.784112113073427,0.846055964973556,0.731704537937484
"elasmobranch",2007,-0.351948356620808,-0.430126241568688,-0.278392574135105,479,0.629434954007884,0.80652885576583,0.868090054249199,0.745877808327572
"elasmobranch",2008,-0.339141915243989,-0.41794846250214,-0.257709669283607,469,0.616294349540079,0.816924040868797,0.886231641892697,0.755016474882043
"elasmobranch",2009,-0.297546565232387,-0.368024841087354,-0.219776897593977,477,0.626806833114323,0.851620893663796,0.92049460062223,0.793666375901222
"elasmobranch",2010,-0.284175261927834,-0.369402772768413,-0.205013176684367,443,0.582128777923784,0.863084646791979,0.934185340458542,0.792573510977196
"elasmobranch",2011,-0.276751289893807,-0.354943017314387,-0.204133721455935,428,0.562417871222076,0.869516006651765,0.935007276015317,0.804117188368329
"elasmobranch",2012,-0.233645921889417,-0.312597511902978,-0.153645573649177,409,0.537450722733246,0.907816359281784,0.98342606430219,0.838899170155229
"elasmobranch",2013,-0.220713271866944,-0.300970507911338,-0.137005367809593,405,0.532194480946124,0.919633076577226,0.999927388393528,0.848709978786351
"elasmobranch",2014,-0.194301785826622,-0.275222401197954,-0.115743442555766,379,0.498028909329829,0.944245547994232,1.02141539851735,0.870846416610418
"elasmobranch",2015,-0.184277304424805,-0.265192056648122,-0.0986848966044226,322,0.423127463863338,0.95375872258477,1.03898872155544,0.879625260029567
"elasmobranch",2016,-0.148862791529729,-0.23266663883951,-0.0544534529572026,280,0.367936925098555,0.988140842789912,1.08597619416116,0.908705803892792
"elasmobranch",2017,-0.125747595108389,-0.218433528599124,-0.0281867412129781,243,0.319316688567674,1.01124794622192,1.11487914884731,0.921731995481493
"elasmobranch",2018,-0.149452130822821,-0.257752659414247,-0.0442837473223768,195,0.256241787122208,0.987558664131377,1.09707660064586,0.886193543497568
"elasmobranch",2019,-0.165320400913489,-0.310807453000367,-0.0225753400078406,18,0.0236530880420499,0.972011496082062,1.12115276848325,0.840402193932358
"elasmobranch",2020,-0.170407378377696,-0.361771411816132,0.0178872891878013,2,0.0026281208935611,0.967079450743967,1.16744785150078,0.798645063157735
